Binomial.1.2,Order.1.2,Family.1.2,log10density,log10BM,dataset
Camelus_dromedarius,Cetartiodactyla,Camelidae,-0.00877392430750515,5.903089986991944,density
Canis_adustus,Carnivora,Canidae,-0.13076828026902382,4.010719628351769,density
Canis_aureus,Carnivora,Canidae,-0.6575773191777937,4.014738891140639,density
Canis_latrans,Carnivora,Canidae,-0.6020599913279624,4.127308933608117,density
Canis_lupus,Carnivora,Canidae,-2,4.507630573582486,density
Bos_gaurus,Cetartiodactyla,Bovidae,-0.26760624017703144,5.9164539485499255,density
Bos_javanicus,Cetartiodactyla,Bovidae,-0.12493873660829995,5.845098040014257,density
Callicebus_cupreus,Primates,Pitheciidae,0.6893088591236202,2.9614210940664485,density
Caluromys_derbianus,Didelphimorphia,Didelphidae,1.0740846890282438,2.4727564493172123,density
Caluromys_philander,Didelphimorphia,Didelphidae,1.794627444664508,2.3604040547299387,density
Caluromysiops_irrupta,Didelphimorphia,Didelphidae,0.9469432706978255,2.3979400086720375,density
Camelus_ferus,Cetartiodactyla,Camelidae,-1.2218487496163564,5.838849090737256,density
Boselaphus_tragocamelus,Cetartiodactyla,Bovidae,0.3783979009481377,5.227886704613674,density
Canis_mesomelas,Carnivora,Canidae,-0.13076828026902382,3.929418925714293,density
Canis_simensis,Carnivora,Canidae,0.07918124604762482,4,density
Capra_aegagrus,Cetartiodactyla,Bovidae,0.8796692056320535,4.525044807036846,density
Ateles_belzebuth,Primates,Atelidae,1.1300119496719043,3.6989700043360187,density
Ateles_chamek,Primates,Atelidae,0.5301996982030822,3.7781512503836434,density
Ateles_geoffroyi,Primates,Atelidae,1.2801228963023075,3.7230367740731385,density
Ateles_paniscus,Primates,Atelidae,0.9030899869919435,3.897632588654153,density
Callicebus_moloch,Primates,Pitheciidae,1.2655253352190738,2.9318137039591394,density
Callicebus_personatus,Primates,Pitheciidae,1.1149444157125847,3.130333768495006,density
Callicebus_torquatus,Primates,Pitheciidae,1.0086001717619175,3.0211892990699383,density
Callimico_goeldii,Primates,Callitrichidae,0.31806333496276157,2.681241237375587,density
Mico_argentatus,Primates,Callitrichidae,0.8762178405916422,2.6434526764861874,density
Callithrix_flaviceps,Primates,Callitrichidae,1.0737183503461227,2.534026106056135,density
Mico_humeralifer,Primates,Callitrichidae,1.4520932490177314,2.5440680443502757,density
Mico_intermedius,Primates,Callitrichidae,1.3003780648707026,2.6283889300503116,density
Callithrix_jacchus,Primates,Callitrichidae,2.7060175688990076,2.4653828514484184,density
Callithrix_kuhlii,Primates,Callitrichidae,1.7708520116421442,2.534026106056135,density
